Ingles,Portugues
word,palavra
you,vocês
I,eu
to,para
the,a
a,uma
and,e
that,naquela
of,de
me,Eu
what,que
is,é
in,dentro
this,isto
know,conhecer
I'm,Eu estou
for,por
no,não
have,ter
my,minha
don't,não
just,somente
not,não
do,Faz
be,ser
on,sobre
your,sua
was,foi
we,nós
it's,Está
with,com
all,tudo
well,Nós vamos
are,são
he,ele
oh,Oh
about,cerca de
right,direito
you're,você é
get,pegue
here,aqui
out,Fora
going,indo
like,Como
yeah,sim
if,E se
her,dela
she,ela
can,posso
up,acima
want,quer
think,acho
that's,isso é
now,agora
go,vai
him,ele
at,no
how,Como as
got,obteve
there,lá
one,1
did,fez
why,Por quê
see,Vejo
come,venha
good,Boa
they,elas
really,realmente
as,Como
look,Veja
when,quando
okay,OK
back,costas
can't,não pode
mean,significar
tell,contar
I'll,eu vou
from,a partir de
hey,Ei
were,estavam
could,poderia
didn't,não
yes,sim
his,seu
been,fui
or,ou
something,algo
who,Who
because,Porque
some,algum
had,teve
then,então
ok,OK
take,pegar
an,um
way,caminho
little,pouco
make,faça
need,necessidade
gonna,vai
never,Nunca
we're,estamos
too,também
love,amar
I've,Eu tenho
sure,certo
them,eles
more,mais
over,sobre
our,nosso
sorry,Desculpe
where,Onde
what's,o que é
thing,coisa
am,sou
maybe,pode ser
down,baixa
man,cara
uh,Uh
very,muito
by,por
there's,há
should,deve
anything,nada
said,disse
much,Muito de
any,qualquer
even,até
off,fora
please,por favor
doing,fazendo
thank,obrigado
give,dar
only,só
thought,pensamento
help,ajuda
two,dois
talk,conversa
people,pessoas
god,Deus
still,ainda
wait,esperar
into,em
find,achar
nothing,nenhuma coisa
things,coisas
let's,vamos
doesn't,não
call,ligar
told,contou
great,excelente
before,antes de
better,Melhor
ever,sempre
night,noite
than,que
away,um jeito
first,primeiro
believe,acreditam
other,de outros
feel,sentir
everything,tudo
work,trabalhos
you've,você tem
fine,multar
home,casa
after,depois de
last,durar
these,esses
day,dia
keep,continuar
does,faz
put,colocar
around,por aí
stop,Pare
they're,eles estão
I'd,eu ia
guy,cara
long,grandes
isn't,não é
always,sempre
listen,ouço
wanted,procurado
Mr.,Senhor.
guys,pessoal
huh,Hã
those,Essa
big,grande
lot,muitos
happened,ocorrido
won't,não vai
trying,tentando
kind,Gentil
wrong,errado
through,Através dos
talking,conversando
made,feito
new,novo
being,sendo
guess,acho
hi,Oi
care,Cuidado
bad,ruim
remember,lembrar
getting,recebendo
we'll,Nós vamos
together,juntos
dad,Papai
leave,sair
mother,mãe
place,"Lugar, colocar"
understand,Compreendo
actually,na verdade
hear,ouvir
baby,bebê
nice,legais
father,pai
else,senão
stay,fique
wasn't,não era
their,seus
course,curso
might,poderia
mind,mente
every,todo
enough,o suficiente
try,experimentar
hell,inferno
came,veio
someone,alguém
you'll,você vai
own,ter
family,família
